date,sessions,duration,opens,engage,views,clicks
2015-03-20-00-00,6039,167.00,19.35,0.96,1.13,0.84
2015-03-20-00-30,5203,169.00,19.96,1.05,1.08,0.80
2015-03-20-01-00,4388,168.00,19.53,0.91,1.11,0.83
2015-03-20-01-30,3602,170.00,19.01,0.98,1.12,0.83
2015-03-20-02-00,2960,155.00,18.50,0.96,1.08,0.79
2015-03-20-02-30,2373,170.00,19.55,1.04,1.11,0.82
2015-03-20-03-00,2160,189.00,23.08,1.16,1.15,0.86
2015-03-20-03-30,1755,190.00,21.65,1.08,1.09,0.82
2015-03-20-04-00,1765,164.00,19.93,1.09,1.09,0.84
2015-03-20-04-30,1819,189.00,23.41,1.23,1.12,0.85
2015-03-20-05-00,2074,178.00,21.87,1.02,1.11,0.84
2015-03-20-05-30,2902,168.00,21.57,1.07,1.13,0.89
2015-03-20-06-00,4893,155.00,20.23,1.05,1.09,0.93
2015-03-20-06-30,7129,153.00,20.05,1.07,1.08,0.95
2015-03-20-07-00,10038,157.00,20.17,1.08,1.10,0.96
2015-03-20-07-30,13230,154.00,19.31,1.07,1.08,0.94
2015-03-20-08-00,16690,154.00,18.32,1.07,1.08,0.93
2015-03-20-08-30,18423,157.00,17.93,1.09,1.09,0.90
2015-03-20-09-00,19668,157.00,17.34,1.08,1.08,0.89
2015-03-20-09-30,20753,160.00,16.98,1.07,1.06,0.86
2015-03-20-10-00,20911,158.00,17.37,1.06,1.07,0.86
2015-03-20-10-30,21192,163.00,17.76,1.05,1.06,0.86
2015-03-20-11-00,20576,165.00,17.56,1.07,1.07,0.85
2015-03-20-11-30,20242,159.00,17.23,1.00,1.07,0.84
2015-03-20-12-00,19136,161.00,17.28,1.01,1.09,0.85
2015-03-20-12-30,18197,162.00,17.56,1.03,1.11,0.85
2015-03-20-13-00,16607,160.00,17.43,1.02,1.12,0.85
2015-03-20-13-30,15895,163.00,17.45,1.01,1.11,0.84
2015-03-20-14-00,15265,162.00,17.41,1.04,1.13,0.83
